POD,Feature_Cluster
pod_00001,1
pod_00002,0
pod_00003,0
pod_00004,1
pod_00005,1
pod_00006,1
pod_00007,1
pod_00008,1
pod_00009,1
pod_00010,1
pod_00011,1
pod_00012,2
pod_00015,2
pod_00016,1
pod_00017,1
pod_00018,0
pod_00019,1
pod_00020,0
pod_00022,1
pod_00023,1
pod_00024,1
pod_00025,0
pod_00027,1
pod_00028,3
pod_00029,2
pod_00030,1
pod_00031,1
pod_00032,1
pod_00033,1
pod_00034,1
pod_00036,1
pod_00037,1
pod_00038,1
pod_00040,1
pod_00041,1
pod_00042,1
pod_00044,1
pod_00045,1
pod_00046,1
pod_00048,1
pod_00049,1
pod_00050,1
pod_00051,2
pod_00053,2
pod_00055,1
pod_00057,1
pod_00058,2
pod_00059,0
pod_00060,1
pod_00061,1
pod_00066,2
pod_00067,1
pod_00069,0
pod_00070,2
pod_00071,0
pod_00073,1
pod_00074,0
pod_00075,0
pod_00076,1
pod_00077,1
pod_00078,2
pod_00079,2
pod_00080,1
pod_00081,3
pod_00083,2
pod_00084,1
pod_00085,1
pod_00087,1
pod_00088,2
pod_00089,0
pod_00090,1
pod_00091,1
pod_00092,1
pod_00093,3
pod_00094,1
pod_00097,1
pod_00098,0
pod_00099,1
pod_00101,1
pod_00103,0
pod_00104,1
pod_00106,1
pod_00107,1
pod_00108,1
pod_00109,0
pod_00110,2
pod_00112,0
pod_00113,1
pod_00116,1
pod_00117,2
pod_00118,1
pod_00119,1
pod_00121,1
pod_00123,3
pod_00125,3
pod_00126,0
pod_00131,1
pod_00132,1
pod_00133,1
pod_00134,2
pod_00135,1
pod_00136,1
pod_00137,1
pod_00138,1
pod_00139,0
pod_00140,0
pod_00141,1
pod_00142,1
pod_00144,1
pod_00146,1
pod_00147,1
pod_00148,1
pod_00150,2
pod_00151,1
pod_00153,1
pod_00155,1
pod_00158,1
pod_00160,1
pod_00161,0
pod_00163,1
pod_00164,0
pod_00165,2
pod_00166,1
pod_00167,1
pod_00168,1
pod_00170,1
pod_00171,2
pod_00172,1
pod_00173,2
pod_00175,1
pod_00176,1
pod_00177,0
pod_00180,2
pod_00182,1
pod_00183,2
pod_00185,2
pod_00186,2
pod_00187,2
pod_00189,1
pod_00191,1
pod_00192,1
pod_00194,1
pod_00195,1
pod_00196,1
pod_00197,0
pod_00200,2
pod_00201,0
pod_00202,1
pod_00204,1
pod_00205,2
pod_00206,2
pod_00207,1
pod_00208,1
pod_00210,1
pod_00212,1
pod_00216,0
pod_00217,0
pod_00218,1
pod_00219,3
pod_00220,2
pod_00221,1
pod_00222,1
pod_00223,0
pod_00224,1
pod_00227,1
pod_00228,1
pod_00231,1
pod_00232,0
pod_00233,1
pod_00234,0
pod_00235,0
pod_00236,1
pod_00237,1
pod_00241,1
pod_00242,1
pod_00243,2
pod_00245,1
pod_00247,0
pod_00248,1
pod_00249,1
pod_00250,1
pod_00251,1
pod_00252,1
pod_00253,2
pod_00255,1
pod_00256,1
pod_00257,1
pod_00258,1
pod_00259,1
pod_00261,1
pod_00262,1
pod_00263,1
pod_00264,2
pod_00265,1
pod_00266,0
pod_00267,0
pod_00270,1
pod_00271,1
pod_00272,2
pod_00273,1
pod_00274,1
pod_00275,1
pod_00276,0
pod_00277,1
pod_00278,1
pod_00280,1
pod_00281,0
pod_00282,1
pod_00283,1
pod_00284,2
pod_00285,1
pod_00286,1
pod_00288,0
pod_00290,2
pod_00291,0
pod_00292,1
pod_00293,0
pod_00295,0
pod_00297,1
pod_00298,2
pod_00299,1
pod_00300,3
pod_00302,1
pod_00305,2
pod_00308,1
pod_00309,1
pod_00311,0
pod_00312,1
pod_00313,1
pod_00315,0
pod_00316,1
pod_00317,2
pod_00319,1
pod_00320,1
pod_00321,1
pod_00323,1
pod_00325,2
pod_00326,1
pod_00330,0
pod_00331,1
pod_00332,1
pod_00333,1
pod_00335,0
pod_00337,1
pod_00338,1
pod_00339,1
pod_00340,1
pod_00341,1
pod_00342,2
pod_00343,1
pod_00345,1
pod_00347,1
pod_00348,1
pod_00349,0
pod_00350,0
pod_00351,1
pod_00352,0
pod_00353,2
pod_00354,1
pod_00355,1
pod_00357,2
pod_00358,1
pod_00359,2
pod_00361,1
pod_00364,1
pod_00368,0
pod_00369,1
pod_00370,0
pod_00372,0
pod_00374,2
pod_00376,2
pod_00379,2
pod_00382,2
pod_00383,0
pod_00384,0
pod_00385,1
pod_00387,1
pod_00389,1
pod_00390,2
pod_00392,1
pod_00394,0
pod_00395,1
pod_00396,0
pod_00397,1
pod_00398,3
pod_00401,2
pod_00406,0
pod_00407,2
pod_00410,0
pod_00412,1
pod_00413,0
pod_00416,0
pod_00417,2
pod_00418,2
pod_00420,0
pod_00421,1
pod_00424,2
pod_00425,1
pod_00429,0
pod_00432,1
pod_00437,0
pod_00439,1
pod_00441,2
pod_00444,1
pod_00445,1
pod_00449,1
pod_00451,0
pod_00452,2
pod_00453,1
pod_00456,2
pod_00457,0
pod_00460,2
pod_00461,1
pod_00465,0
pod_00466,1
pod_00469,1
pod_00470,2
pod_00471,1
pod_00472,1
pod_00473,1
pod_00476,2
pod_00477,0
pod_00478,1
pod_00479,2
pod_00480,1
pod_00485,2
pod_00486,2
pod_00487,1
pod_00488,1
pod_00489,0
pod_00490,1
pod_00491,2
pod_00497,1
pod_00498,1
pod_00501,1
pod_00503,1
pod_00505,0
pod_00506,2
pod_00507,1
pod_00508,1
pod_00510,1
pod_00513,1
pod_00519,0
pod_00522,2
pod_00525,0
pod_00526,1
pod_00527,1
pod_00529,2
pod_00531,0
pod_00532,1
pod_00533,0
pod_00534,2
pod_00535,2
pod_00536,1
pod_00537,1
pod_00540,2
pod_00541,2
pod_00542,0
pod_00544,0
pod_00546,1
pod_00547,1
pod_00549,1
pod_00550,2
pod_00551,1
pod_00552,1
pod_00553,1
pod_00554,1
pod_00555,1
pod_00557,1
pod_00558,0
pod_00560,1
pod_00561,1
pod_00564,2
pod_00566,1
pod_00567,0
pod_00568,2
pod_00570,0
pod_00571,1
pod_00572,2
pod_00573,0
pod_00574,0
pod_00577,0
pod_00578,2
pod_00579,0
pod_00580,1
pod_00582,1
pod_00583,0
pod_00585,1
pod_00586,1
pod_00587,0
pod_00588,2
pod_00589,2
pod_00590,1
pod_00592,2
pod_00594,0
pod_00595,1
pod_00596,2
pod_00597,1
pod_00599,1
pod_00600,0
pod_00602,1
pod_00605,0
pod_00606,2
pod_00607,1
pod_00608,1
pod_00609,0
pod_00612,0
pod_00613,2
pod_00614,1
pod_00615,1
pod_00617,1
pod_00618,1
pod_00619,1
pod_00621,1
pod_00622,2
pod_00623,2
pod_00627,1
pod_00628,3
pod_00629,3
pod_00630,0
pod_00631,0
pod_00633,2
pod_00634,2
pod_00635,0
pod_00636,0
pod_00637,1
pod_00638,0
pod_00640,0
pod_00642,1
pod_00646,0
pod_00647,0
pod_00648,3
pod_00650,1
pod_00651,1
pod_00654,0
pod_00656,2
pod_00658,1
pod_00659,1
pod_00660,1
pod_00662,1
pod_00664,0
pod_00665,1
pod_00666,1
pod_00667,0
pod_00668,1
pod_00669,2
pod_00670,1
pod_00671,0
pod_00672,2
pod_00673,0
pod_00676,2
pod_00677,2
pod_00679,1
pod_00681,1
pod_00682,1
pod_00684,2
pod_00686,0
pod_00687,1
pod_00688,3
pod_00689,0
pod_00693,1
pod_00697,1
pod_00699,1
pod_00701,0
pod_00702,2
pod_00703,2
pod_00705,0
pod_00706,3
pod_00707,1
pod_00709,0
pod_00712,0
pod_00717,1
pod_00719,0
pod_00721,1
pod_00722,0
pod_00723,2
pod_00724,2
pod_00726,1
pod_00727,1
pod_00728,1
pod_00729,0
pod_00730,3
pod_00731,2
pod_00732,0
pod_00733,2
pod_00736,1
pod_00739,2
pod_00742,1
pod_00743,2
pod_00746,2
pod_00747,0
pod_00748,1
pod_00749,2
pod_00750,0
pod_00751,1
pod_00752,2
pod_00754,0
pod_00755,0
pod_00756,0
pod_00757,1
pod_00759,1
pod_00760,2
pod_00761,2
pod_00763,2
pod_00764,1
pod_00766,0
pod_00767,1
pod_00768,2
pod_00769,1
pod_00770,2
pod_00771,1
pod_00773,0
pod_00774,0
pod_00776,2
pod_00777,0
pod_00778,0
pod_00779,1
pod_00780,2
pod_00781,1
pod_00783,1
pod_00784,0
pod_00785,3
pod_00788,1
pod_00789,1
pod_00791,0
pod_00792,0
pod_00794,3
pod_00796,0
pod_00797,1
pod_00799,1
pod_00801,1
pod_00802,2
pod_00803,0
pod_00805,1
pod_00807,1
pod_00808,1
pod_00809,2
pod_00810,1
pod_00811,2
pod_00812,0
pod_00813,0
pod_00815,0
pod_00816,2
pod_00818,2
pod_00819,1
pod_00821,0
pod_00823,2
pod_00826,2
pod_00827,2
pod_00828,2
pod_00833,3
pod_00834,2
pod_00835,0
pod_00836,1
pod_00837,1
pod_00838,0
pod_00840,0
pod_00841,2
pod_00842,0
pod_00843,0
pod_00847,2
pod_00848,0
pod_00849,2
pod_00850,1
pod_00851,1
pod_00853,0
pod_00854,3
pod_00856,0
pod_00858,0
pod_00859,0
pod_00860,2
pod_00861,2
pod_00862,1
pod_00863,1
pod_00864,1
pod_00866,1
pod_00870,2
pod_00871,1
pod_00872,1
pod_00875,2
pod_00876,0
pod_00877,2
pod_00878,0
pod_00879,2
pod_00880,2
pod_00881,0
pod_00883,1
pod_00885,1
pod_00886,2
pod_00887,2
pod_00888,0
pod_00889,2
pod_00890,1
pod_00893,0
pod_00894,1
pod_00896,3
pod_00897,2
pod_00898,0
pod_00899,2
pod_00900,2
pod_00901,2
pod_00902,2
pod_00904,2
pod_00908,2
pod_00909,1
pod_00911,2
pod_00914,0
pod_00915,2
pod_00916,1
pod_00917,0
pod_00919,2
pod_00920,3
pod_00921,1
pod_00922,0
pod_00923,0
pod_00924,1
pod_00925,2
pod_00926,2
pod_00927,2
pod_00928,2
pod_00933,0
pod_00934,2
pod_00935,0
pod_00936,2
pod_00937,1
pod_00938,0
pod_00939,2
pod_00945,2
pod_00946,0
pod_00947,0
pod_00949,0
pod_00952,1
pod_00953,1
pod_00955,2
pod_00958,1
pod_00959,2
pod_00960,2
pod_00961,2
pod_00962,2
pod_00963,1
pod_00965,2
pod_00968,2
pod_00970,0
pod_00972,2
pod_00973,2
pod_00974,2
pod_00975,0
pod_00976,1
pod_00977,3
pod_00978,2
pod_00980,1
