Datetime,Consumption (kWh),Year,Month,Day,Hour,Week,DayName
2023-01-01 00:15:00,0.0,2023,1,1,0,52,Sunday
2023-01-01 00:30:00,0.081,2023,1,1,0,52,Sunday
2023-01-01 00:45:00,0.077,2023,1,1,0,52,Sunday
2023-01-01 01:00:00,0.035,2023,1,1,1,52,Sunday
2023-01-01 01:15:00,0.026,2023,1,1,1,52,Sunday
2023-01-01 01:30:00,0.025,2023,1,1,1,52,Sunday
2023-01-01 01:45:00,0.027,2023,1,1,1,52,Sunday
2023-01-01 02:00:00,0.021,2023,1,1,2,52,Sunday
2023-01-01 02:15:00,0.013,2023,1,1,2,52,Sunday
2023-01-01 02:30:00,0.02,2023,1,1,2,52,Sunday
2023-01-01 02:45:00,0.025,2023,1,1,2,52,Sunday
2023-01-01 03:00:00,0.025,2023,1,1,3,52,Sunday
2023-01-01 03:15:00,0.023,2023,1,1,3,52,Sunday
2023-01-01 03:30:00,0.022,2023,1,1,3,52,Sunday
2023-01-01 03:45:00,0.023,2023,1,1,3,52,Sunday
2023-01-01 04:00:00,0.025,2023,1,1,4,52,Sunday
2023-01-01 04:15:00,0.024,2023,1,1,4,52,Sunday
2023-01-01 04:30:00,0.024,2023,1,1,4,52,Sunday
2023-01-01 04:45:00,0.014,2023,1,1,4,52,Sunday
2023-01-01 05:00:00,0.022,2023,1,1,5,52,Sunday
2023-01-01 05:15:00,0.02,2023,1,1,5,52,Sunday
2023-01-01 05:30:00,0.012,2023,1,1,5,52,Sunday
2023-01-01 05:45:00,0.014,2023,1,1,5,52,Sunday
2023-01-01 06:00:00,0.017,2023,1,1,6,52,Sunday
2023-01-01 06:15:00,0.02,2023,1,1,6,52,Sunday
2023-01-01 06:30:00,0.019,2023,1,1,6,52,Sunday
2023-01-01 06:45:00,0.019,2023,1,1,6,52,Sunday
2023-01-01 07:00:00,0.017,2023,1,1,7,52,Sunday
2023-01-01 07:15:00,0.017,2023,1,1,7,52,Sunday
2023-01-01 07:30:00,0.02,2023,1,1,7,52,Sunday
2023-01-01 07:45:00,0.031,2023,1,1,7,52,Sunday
